Scenario,Topic,Summary,Sentiment,Transcripts
Scenario 11,Elderly Support,Customer reports unusual withdrawals by a 'friend' of an elderly relative. Elder abuse team notified.,Concerned,"Agente:
Gracias por llamar a Not-a-real Bank. Mi nombre es Angela. ¿En qué puedo ayudarte hoy?

Cliente (preocupado, vacilante):
Hola… no estoy muy seguro de cómo decir esto, pero creo que alguien está aprovechándose de mi abuela.

Agente:
Lamento mucho escuchar eso. ¿Puedes contarme más sobre lo que ha estado ocurriendo?

Cliente:
Sí… he estado ayudándola con sus cuentas y noté varios retiros grandes. Como $2,000 aquí, $1,500 allá. Ella nunca gasta esa cantidad de dinero.

Agente:
Entiendo. ¿Podrías proporcionarme el nombre completo de tu abuela y los últimos cuatro dígitos de su cuenta para revisar los movimientos?

Cliente:
Sí, es Margaret Evans. Los últimos cuatro son 9876.

Agente:
Gracias. Veo varios retiros grandes en las últimas dos semanas. ¿Tu abuela ha mencionado alguna razón para estos retiros?

Cliente:
No, y cuando le pregunté, dijo que su ""nuevo amigo"" estaba ayudándola con inversiones.

Agente:
Esto es muy preocupante. Aquí hay lo que haremos:

    Voy a marcar estas transacciones como sospechosas y restringiré futuros retiros.

    Te conectaré con nuestro equipo de prevención de abuso a ancianos, quienes te ayudarán a presentar un informe formal.

    También podemos poner una retención en la cuenta hasta que confirmemos la seguridad de tu abuela.

¿Quieres que proceda?

Cliente (emocional):
Sí, por favor. No sé qué más hacer.

Agente:
Estás haciendo lo correcto al llamarnos. Ahora te conectaré con nuestro especialista en prevención de abuso a ancianos. Por favor, mantente en la línea."
Scenario 12,Account Balance,Customer requests account balance information and confirms pending transactions.,Neutral,"Agente:
Gracias por llamar a Not-a-real Bank. Mi nombre es Ryan. ¿En qué puedo ayudarte hoy?

Cliente:
Hola, acabo de abrir una cuenta de ahorros y quiero saber cuánto tengo ahora.

Agente:
Claro. ¿Puedes confirmarme tu nombre completo y los últimos cuatro dígitos de tu cuenta?

Cliente:
Soy Jessica Lee, y los últimos cuatro son 3456.

Agente:
Gracias, Jessica. Veo que tu saldo actual en la cuenta de ahorros es de $1,235.78.

Cliente:
¿Hay alguna transacción pendiente?

Agente:
Sí, hay un débito pendiente de $50 a Grocery Mart, que se procesará mañana.

Cliente:
Ah, perfecto. Gracias por confirmarlo.

Agente:
De nada, Jessica. Si necesitas alguna otra cosa, no dudes en llamarnos. Que tengas un excelente día."
Scenario 13,Fraud,Frontline agent escalates a complex fraud case involving recurring unauthorized charges to a fraud specialist.,Concerned,"Agente 1 (Sarah):
Hola Tom, soy Sarah del equipo de soporte. Tengo un caso de fraude que necesito escalar. ¿Tienes un momento?

Agente 2 (Tom – Especialista en Fraude):
Sí, claro. ¿Qué está pasando?

Agente 1:
Tengo a un cliente, Amir Khan, que reportó tres cargos no autorizados de $300 cada uno de XYZ Subscription Services. Dijo que llamó la semana pasada y le aseguraron que se resolvería, pero los cargos siguen ahí y está muy frustrado.

Agente 2:
¿Confirmaste las transacciones?

Agente 1:
Sí, definitivamente no fueron autorizadas. Y lo más raro es que los cargos son recurrentes cada tres días.

Agente 2:
¿Recurrentes? Eso es inusual. ¿Mencionó haber recibido algún correo o llamada sospechosa últimamente?

Agente 1:
No, pero sonaba muy confundido y abrumado. Tuve que calmarlo un par de veces.

Agente 2:
Entendido. Me haré cargo. Revisaré la cuenta para detectar actividad no autorizada adicional y contactaré a Amir directamente. ¿Colocaste una retención temporal en la tarjeta?

Agente 1:
Sí, la tarjeta está bloqueada y le mencioné que recibiría una nueva en 5-7 días hábiles.

Agente 2:
Perfecto. También presentaré un informe formal de fraude y notificaré al equipo de prevención de abuso por si acaso. Gracias por informarme.

Agente 1:
De nada. Avísame si necesitas algo más."
Scenario 14,Technical Support,Customer reports a connection error when accessing the mobile app. Cache cleared and app reopened.,Frustrated,"Agente:
Gracias por llamar a Not-a-real Bank. Mi nombre es Kevin. ¿En qué puedo ayudarte hoy?

Cliente (frustrado):
Sí, estoy tratando de acceder a la aplicación móvil, pero sigue diciendo ""Error de conexión"". Lo intenté varias veces.

Agente:
Lamento el inconveniente. ¿Te aparece el error al ingresar tu información o al abrir la aplicación?

Cliente:
Apenas abro la aplicación.

Agente:
De acuerdo. Primero, ¿estás usando Wi-Fi o datos móviles?

Cliente:
Wi-Fi, pero todos los demás dispositivos funcionan bien.

Agente:
Entendido. Intentemos algunos pasos:

    Cierra la aplicación completamente.

    Borra la caché de la aplicación.

    Reabre la aplicación y verifica si persiste el error.

¿Puedes intentarlo ahora?

Cliente:
Un momento… (pausa) …Sí, ahora funciona.

Agente:
Perfecto. Si vuelve a ocurrir, puedes intentar los mismos pasos o llamarnos para mayor asistencia. ¿Necesitas algo más?

Cliente:
No, eso es todo. Gracias.

Agente:
De nada. Que tengas un excelente día."
Scenario 15,Account Management,"Customer updates contact information, including phone number and email address.",Neutral,"Agente:
Gracias por llamar a Not-a-real Bank. Mi nombre es Rachel. ¿En qué puedo ayudarte hoy?

Cliente:
Hola, quiero actualizar mi número de teléfono y correo electrónico en mi cuenta.

Agente:
Claro. ¿Puedes proporcionarme tu nombre completo y los últimos cuatro dígitos de tu cuenta?

Cliente:
Soy Michael Chen, y los últimos cuatro son 7890.

Agente:
Gracias, Michael. ¿Cuál es el nuevo número de teléfono que deseas registrar?

Cliente:
Es 555-987-6543.

Agente:
Perfecto. Ahora, ¿cuál es el nuevo correo electrónico?

Cliente:
Es michael.chen@email.com.

Agente:
Listo. He actualizado ambos datos. ¿Te gustaría recibir una confirmación por correo electrónico?

Cliente:
Sí, por favor.

Agente:
En unos 5 minutos deberías recibirlo. Si notas alguna discrepancia, no dudes en llamarnos.

Cliente:
Gracias por la actualización.

Agente:
De nada, Michael. Que tengas un excelente día."
Scenario 16,Fraud,Customer is angry about an unauthorized phone number update. Fraud alert initiated.,Angry,"Agente:
Gracias por llamar a Not-a-real Bank. Mi nombre es Laura. ¿En qué puedo ayudarte hoy?

Cliente (enojado):
Sí, ¿puedes explicarme por qué mi número de teléfono fue cambiado sin mi permiso? Acabo de recibir un mensaje diciendo que fue actualizado, ¡pero yo no lo hice!

Agente:
Lamento mucho escuchar eso, señor. Permíteme investigar de inmediato. ¿Puedes confirmarme tu nombre completo y los últimos cuatro dígitos de tu cuenta?

Cliente:
James Carter. Los últimos cuatro son 6789. Y quiero saber cómo pasó esto.

Agente:
Entendido, James. Estoy revisando tu cuenta ahora. (pausa) Veo que el número de teléfono fue actualizado ayer a las 2:45 PM. ¿Reconoces el número 555-987-6543?

Cliente:
¡No! Ese no es mi número. Y ahora ni siquiera puedo acceder a mi cuenta porque no puedo recibir el código de verificación.

Agente:
Lamento mucho el inconveniente, James. Esto es lo que haremos:

    Voy a bloquear tu cuenta temporalmente para evitar más cambios no autorizados.

    Restableceré tu número de teléfono al original y enviaré un código de verificación.

    Iniciaré una investigación de fraude para determinar cómo ocurrió este cambio.

¿Quieres que proceda?

Cliente:
Sí, hazlo ahora mismo.

Agente:
Listo. Tu número ha sido restablecido y deberías recibir el código de verificación en unos momentos. ¿Lo recibiste?

Cliente:
Sí, aquí está. Gracias.

Agente:
De nada, James. Mantente atento a tu correo, recibirás más detalles sobre la investigación."
Scenario 17,New Accounts,Potential new customer inquires about checking account options and promotional offers.,Curious,"Agente:
Gracias por llamar a Not-a-real Bank. Mi nombre es Emma. ¿En qué puedo ayudarte hoy?

Cliente:
Hola, estoy pensando en abrir una cuenta corriente con ustedes. ¿Cuáles son las opciones?

Agente:
¡Nos encantaría tenerte como cliente! Ofrecemos tres tipos de cuentas corrientes:

    Cuenta Básica: Sin tarifa mensual si mantienes un saldo mínimo de $100.

    Cuenta Inteligente: Ganas intereses y tienes retiros gratuitos en cajeros automáticos.

    Cuenta Premier: Incluye todos los beneficios de la Cuenta Inteligente más protección contra sobregiros y recompensas de viaje.

¿Quieres que te explique más sobre alguna de ellas?

Cliente:
Sí, ¿cuál es el depósito mínimo para abrir una cuenta?

Agente:
Para la Cuenta Básica es de $25. Para la Cuenta Inteligente y Premier, es de $100. Además, estamos ofreciendo un bono de $50 para nuevas cuentas Inteligente y Premier.

Cliente:
Genial. ¿Y qué documentos necesito llevar?

Agente:
Solo necesitas un ID válido, un comprobante de domicilio y tu número de Seguro Social.

Cliente:
Perfecto. Gracias por la información.

Agente:
De nada. Si decides abrir la cuenta, llámanos o visita una de nuestras sucursales. ¡Que tengas un excelente día!"
Scenario 18,Wire Transfers,Customer requests wiring instructions for a domestic transfer. Form emailed with fee information.,Inquisitive,"Agente:
Gracias por llamar a Not-a-real Bank. Mi nombre es Brian. ¿En qué puedo ayudarte hoy?

Cliente:
Hola, necesito hacer una transferencia bancaria a otro banco. ¿Qué información necesito?

Agente:
Claro. ¿Es una transferencia nacional o internacional?

Cliente:
Nacional, a un banco aquí en Ohio.

Agente:
Entendido. Aquí está la información que necesitas:

    Nombre completo del destinatario.

    Nombre y dirección del banco receptor.

    Número de cuenta del destinatario.

    Número de ruta bancaria.

    Monto a transferir.

¿Te gustaría que te envíe un formulario para completar con todos estos detalles?

Cliente:
Sí, por favor. ¿Hay algún costo por la transferencia?

Agente:
Sí, para transferencias nacionales, la tarifa es de $15.

Cliente:
De acuerdo. Envíame el formulario al correo d.johnson@email.com.

Agente:
Listo. Deberías recibirlo en unos momentos. Si necesitas algo más, no dudes en llamarnos."
Scenario 19,Business Banking,Business owner inquires about payment processing solutions for in-store and online transactions.,Inquisitive,"Agente:
Gracias por llamar a Not-a-real Bank. Mi nombre es Michael. ¿En qué puedo ayudarte hoy?

Cliente (dueño de negocio):
Sí, tengo un café y quiero empezar a aceptar pagos con tarjeta de crédito. ¿Qué opciones ofrecen?

Agente:
Ofrecemos varias soluciones para negocios:

    Terminales POS: Acepta pagos con tarjeta, débito y pagos sin contacto en tienda.

    Pagos Móviles: Ideal para ventas móviles o tiendas emergentes.

    Pasarela de Pagos en Línea: Integración con tu sitio web para aceptar pagos en línea.

¿Quieres que te envíe un desglose de tarifas para cada opción?

Cliente:
Sí, por favor. ¿Cuál es la tarifa por transacción?

Agente:
Para terminales POS es del 2.5% por transacción. Para pagos móviles, es del 2.75%.

Cliente:
De acuerdo. Envíame la información a owner@cafemojito.com.

Agente:
Perfecto. Recibirás el correo en 15 minutos. Si decides avanzar, podemos programar una llamada con un especialista en servicios comerciales."
Scenario 20,Business Banking,Business owner requests to cancel merchant services due to high fees. Cancellation set for the end of the billing cycle.,Disappointed,"Agente:
Gracias por llamar a Not-a-real Bank. Mi nombre es Sarah. ¿En qué puedo ayudarte hoy?

Cliente (tono firme):
Quiero cancelar mis servicios de comercio. Las tarifas son demasiado altas.

Agente:
Lamento escuchar eso. ¿Puedes confirmarme tu nombre de negocio y los últimos cuatro dígitos de tu cuenta comercial?

Cliente:
Es Café Mojito, y los últimos cuatro son 4567.

Agente:
Gracias. Antes de proceder, ¿te gustaría saber sobre nuestra estructura de tarifas revisada para pequeñas empresas?

Cliente:
No, ya me cambié a otro proveedor. Solo quiero cerrar la cuenta.

Agente:
Entendido. Procederé con la cancelación. ¿Quieres que los servicios se mantengan activos hasta el final del ciclo de facturación o que se cancelen de inmediato?

Cliente:
Hasta el final del ciclo, aún tengo algunas transacciones pendientes.

Agente:
Perfecto. Tu cuenta se cerrará el 31 de mayo y recibirás un estado de cuenta final. Si alguna vez decides regresar, estaremos aquí para ayudarte.

Cliente:
Gracias por gestionar esto.

Agente:
De nada. Que tengas un excelente día."
Scenario 21,Tax Information,Customer requests a copy of their 1099-INT. Document emailed within 5-7 business days.,Inquisitive,"Agente:
Gracias por llamar a Not-a-real Bank. Mi nombre es Eric. ¿En qué puedo ayudarte hoy?

Cliente:
Hola, necesito una copia de mi formulario 1099-INT del año pasado. ¿Cómo puedo obtenerlo?

Agente:
Claro. ¿Es para tu cuenta de ahorros o para tu cuenta corriente?

Cliente:
Para mi cuenta de ahorros.

Agente:
Entendido. ¿Puedes confirmarme tu nombre completo y los últimos cuatro dígitos de tu cuenta?

Cliente:
Soy Anna Perez, y los últimos cuatro son 2345.

Agente:
Gracias, Anna. Veo que se emitió un 1099-INT en enero por un monto de $150 en intereses. Puedes acceder a una copia en tu portal de banca en línea en la sección “Documentos fiscales”.

Cliente:
¿Y si necesito una copia impresa?

Agente:
Podemos enviártela por correo. ¿Quieres que proceda?

Cliente:
Sí, envíenmela por favor.

Agente:
De acuerdo. Deberías recibirla en 5-7 días hábiles. ¿Hay algo más en lo que te pueda ayudar?

Cliente:
No, eso es todo. Gracias.

Agente:
De nada, Anna. Que tengas un buen día."
Scenario 22,Tax Information,Customer reports incorrect income on 1099-INT. Review initiated for correction.,Concerned,"Agente:
Gracias por llamar a Not-a-real Bank. Mi nombre es Laura. ¿En qué puedo ayudarte hoy?

Cliente (preocupado):
Hola, acabo de recibir mi formulario 1099-INT y dice que gané $1,250 en intereses, pero eso no es correcto.

Agente:
Lamento escuchar eso. Vamos a revisarlo. ¿Puedes confirmarme tu nombre completo y los últimos cuatro dígitos de tu cuenta?

Cliente:
Soy Daniel Carter, y los últimos cuatro son 6789.

Agente:
Gracias, Daniel. Estoy revisando tu cuenta ahora. (pausa) Veo que el formulario 1099-INT fue emitido por $1,250 el 15 de enero. ¿Puedes confirmar cuál crees que debería ser el monto correcto?

Cliente:
Sí, debería ser $950.

Agente:
Entendido. Voy a iniciar una revisión del formulario 1099-INT para verificar la información. Esto puede tardar entre 3 y 5 días hábiles. Si se confirma el error, emitiremos un formulario corregido y te enviaremos una copia actualizada.

Cliente:
De acuerdo. ¿Me avisarán por correo electrónico?

Agente:
Sí, recibirás una notificación una vez que la corrección esté lista. Si tienes más dudas, no dudes en llamarnos.

Cliente:
Gracias por tu ayuda.

Agente:
De nada, Daniel. Estamos aquí para ayudarte."
Scenario 23,Loans,Customer requests information on loan modification after job loss. Call transferred to loan specialist.,Worried,"Agente:
Gracias por llamar a Not-a-real Bank. Mi nombre es Tom. ¿En qué puedo ayudarte hoy?

Cliente (preocupado):
Hola, perdí mi empleo recientemente y estoy teniendo problemas para pagar mi préstamo. ¿Puedo modificarlo?

Agente:
Lamento escuchar eso. Voy a transferirte con nuestro equipo de modificación de préstamos, pero antes, ¿puedes confirmarme tu nombre completo y el número de préstamo?

Cliente:
Soy Sandra Nguyen, y el número de préstamo es 123456.

Agente:
Gracias, Sandra. Un momento mientras te transfiero a un especialista en modificaciones. (transfiriendo llamada)
Especialista (Carlos):
Hola Sandra, mi nombre es Carlos y soy del equipo de modificaciones de préstamos. Entiendo que estás teniendo dificultades financieras. ¿Podrías contarme un poco más sobre tu situación?

Cliente:
Sí, perdí mi empleo el mes pasado y mis ingresos han disminuido considerablemente.

Especialista:
Lamento mucho escuchar eso. Vamos a ver qué opciones tenemos. Podemos ofrecerte un plan de pago reducido o una extensión de plazo. ¿Qué te parece mejor?

Cliente:
La extensión de plazo me ayudaría más.

Especialista:
De acuerdo. Vamos a proceder con eso. Te enviaré un formulario por correo electrónico para completar. ¿Es s.nguyen@email.com la dirección correcta?

Cliente:
Sí, esa es.

Especialista:
Perfecto. Recibirás el formulario en 15 minutos. Llámanos si tienes alguna duda al completarlo.

Cliente:
Gracias por tu ayuda, Carlos."
